Date,CRV APY
2022-03-05,0.0
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.0
2022-03-09,0.0
2022-03-10,26.354104010299288
2022-03-11,6.342768963536232
2022-03-12,4.539845667982236
2022-03-13,3.9589267817789735
2022-03-14,3.62151703271835
2022-03-15,3.331536400653301
2022-03-16,3.1077784636013908
2022-03-17,2.9027206109020485
2022-03-18,2.886423607475851
2022-03-19,2.8066857363795608
2022-03-20,2.7564603546415
2022-03-21,2.629665087256821
2022-03-22,2.4772306349078907
2022-03-23,2.332786469274449
2022-03-24,2.383266309384341
2022-03-25,2.2363752768259073
2022-03-26,1.9732211272565514
2022-03-27,1.940793406187069
2022-03-28,2.0130283082251057
2022-03-29,1.9054329563792458
2022-03-30,1.9773678451404801
2022-03-31,1.8395611846609137
2022-04-01,1.7390301217521518
2022-04-02,1.7174645351341105
2022-04-03,1.7004268779199936
2022-04-04,1.567911062227527
2022-04-05,1.5337179471519904
2022-04-06,1.5693050452787318
2022-04-07,0.02969654175342356
2022-04-08,0.03092685976718143
2022-04-09,0.029551931564834395
2022-04-10,0.030510084962501387
2022-04-11,0.030560622732423083
2022-04-12,0.029565176768191242
2022-04-13,0.029624051848833096
2022-04-14,0.029746485401550962
2022-04-15,0.03211499818022743
2022-04-16,0.0323355735263136
2022-04-17,0.032266951644127836
2022-04-18,0.03314333832298832
2022-04-19,0.03260428482659888
2022-04-20,0.03547691991846751
2022-04-21,0.5582274711464638
2022-04-22,0.537489308665103
2022-04-23,0.6092982960983157
2022-04-24,0.6600827201617235
2022-04-25,0.674026546922346
2022-04-26,0.6754451906652503
2022-04-27,0.6268284406797086
2022-04-28,0.6386134109561372
2022-04-29,0.5995943974666235
2022-04-30,0.5835794166829458
2022-05-01,0.5390038465564373
2022-05-02,0.5428273175992597
2022-05-03,0.549103866843467
2022-05-04,0.5897606127705356
2022-05-05,0.6200244657134694
2022-05-06,0.6509106350466832
2022-05-07,0.6203905294973815
2022-05-08,0.6144407351042778
2022-05-09,0.67425376381828
2022-05-10,0.6317687021393413
2022-05-11,0.6496212096453281
2022-05-12,0.5516093704161944
2022-05-13,0.6004224183571337
2022-05-14,0.6100446586741411
2022-05-15,0.6364459131146106
2022-05-16,0.6811827117913825
2022-05-17,0.6408360561095294
2022-05-18,0.6444998197455948
2022-05-19,0.5888972900805687
2022-05-20,0.4884314239780477
2022-05-21,0.5307672280087595
2022-05-22,0.5562656015885971
2022-05-23,0.5763544032472935
2022-05-24,0.6011516377953597
2022-05-25,0.577264521693299
2022-05-26,0.5828495901207876
2022-05-27,0.6238111652335889
2022-05-28,0.6515307138547073
2022-05-29,0.668635972537097
2022-05-30,0.6859418332667088
2022-05-31,0.6776558332545121
2022-06-01,0.6936872720627467
2022-06-02,0.6879798717592047
2022-06-03,0.679145578286218
2022-06-04,0.6550622814550968
2022-06-05,0.6484817132141596
2022-06-06,0.6692037070805787
2022-06-07,0.6846877556896276
2022-06-08,0.6492134902989566
2022-06-09,0.6424865293521116
2022-06-10,0.6502213788492877
2022-06-11,0.6474298976575145
2022-06-12,0.621043842883587
2022-06-13,0.6305695016779888
2022-06-14,0.6203379552636091
2022-06-15,0.6502110307103486
2022-06-16,0.6660920718937315
2022-06-17,0.6763451412310267
2022-06-18,0.663481528623687
2022-06-19,0.673198464031286
2022-06-20,0.6558540474781509
2022-06-21,0.710039198081164
2022-06-22,0.7370313318146304
2022-06-23,0.734595834476204
2022-06-24,0.8002234674067479
2022-06-25,0.7596855986788796
2022-06-26,0.7412511106303838
2022-06-27,0.7227598814262449
2022-06-28,0.7046083507307259
2022-06-29,0.6948421100819269
2022-06-30,0.04520332144051012
2022-07-01,0.045169665329174054
2022-07-02,0.05008027124160381
